District,Grade,Year,Category,Number Tested,Mean Scale Score,Lvl1Cnt,Lvl1Pct,Lvl2Cnt,Lvl2Pct,Lvl3Cnt,Lvl3Pct,Lvl4Cnt,Lvl4Pct,PassCnt,PassPct
29,6,2013,All Students,2400,288,944,39.3,1094,45.6,232,9.7,130,5.4,362,15.1
29,6,2014,All Students,2228,290,763,34.2,1105,49.6,220,9.9,140,6.3,360,16.2
29,6,2015,All Students,2175,292,741,34.1,992,45.6,299,13.7,143,6.6,442,20.3
29,7,2013,All Students,2498,290,1050,42.0,1045,41.8,337,13.5,66,2.6,403,16.1
29,7,2014,All Students,2416,288,1060,43.9,945,39.1,367,15.2,44,1.8,411,17.0
29,7,2015,All Students,2225,286,1058,47.6,820,36.9,311,14.0,36,1.6,347,15.6
29,8,2013,All Students,2518,289,979,38.9,1070,42.5,385,15.3,84,3.3,469,18.6
29,8,2014,All Students,2501,291,916,36.6,1026,41.0,451,18.0,108,4.3,559,22.4
29,8,2015,All Students,2402,292,808,33.6,1048,43.6,468,19.5,78,3.2,546,22.7
29,All Grades,2013,All Students,15008,294,5580,37.2,6168,41.1,2561,17.1,699,4.7,3260,21.7
29,All Grades,2014,All Students,14470,293,5287,36.5,5783,40.0,2664,18.4,736,5.1,3400,23.5
29,All Grades,2015,All Students,14007,295,4830,34.5,5636,40.2,2700,19.3,841,6.0,3541,25.3
30,3,2013,All Students,2931,302,1014,34.6,1002,34.2,763,26.0,152,5.2,915,31.2
30,3,2014,All Students,3022,300,1011,33.5,983,32.5,882,29.2,146,4.8,1028,34.0
30,3,2015,All Students,3031,303,973,32.1,1015,33.5,832,27.4,211,7.0,1043,34.4
30,4,2013,All Students,3013,301,902,29.9,1240,41.2,558,18.5,313,10.4,871,28.9
30,4,2014,All Students,2821,301,825,29.2,1047,37.1,608,21.6,341,12.1,949,33.6
30,4,2015,All Students,2970,301,860,29.0,1142,38.5,627,21.1,341,11.5,968,32.6
30,5,2013,All Students,2983,304,871,29.2,1117,37.4,689,23.1,306,10.3,995,33.4
30,5,2014,All Students,3069,300,1012,33.0,1131,36.9,609,19.8,317,10.3,926,30.2
30,5,2015,All Students,2821,303,839,29.7,1012,35.9,601,21.3,369,13.1,970,34.4
30,6,2013,All Students,3264,300,868,26.6,1522,46.6,511,15.7,363,11.1,874,26.8
30,6,2014,All Students,3261,300,822,25.2,1535,47.1,491,15.1,413,12.7,904,27.7
30,6,2015,All Students,3268,303,827,25.3,1342,41.1,570,17.4,529,16.2,1099,33.6
30,7,2013,All Students,3144,303,863,27.4,1252,39.8,741,23.6,288,9.2,1029,32.7
30,7,2014,All Students,3130,300,895,28.6,1265,40.4,723,23.1,247,7.9,970,31.0
30,7,2015,All Students,3107,301,910,29.3,1158,37.3,806,25.9,233,7.5,1039,33.4
30,8,2013,All Students,2956,298,885,29.9,1142,38.6,673,22.8,256,8.7,929,31.4
